Player,PTS,Pos,Age,Tm,G,GS,MP,FG,FGA,P3,P3A,P2,P2A,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Andre Drummond,659,C,30,CHI,78,10,1347,265,478,0,3,265,475,129,218,264,442,706,37,72,48,81,140
Amir Coffey,405,SF,26,LAC,66,11,1322,145,296,62,154,83,142,53,61,26,104,130,70,37,11,32,92
Amen Thompson,529,SF,21,HOU,58,19,1240,213,406,8,56,205,350,95,140,128,237,365,139,71,34,80,133
Amari Bailey,7,PG,19,CHO,8,0,31,3,12,0,5,3,7,1,2,2,0,2,2,1,0,1,0
Alperen Sengun,1331,C,21,HOU,63,63,2046,527,982,33,111,494,871,244,352,183,406,589,312,76,46,162,211
Alondes Williams,3,SG,24,MIA,4,0,11,1,4,0,2,1,2,1,1,0,1,1,0,0,0,1,0
Alex Len,114,C,30,SAC,44,0,404,48,78,0,3,48,75,18,30,43,78,121,43,11,31,24,56
Alex Fudge,4,SF,20,LAL,4,0,14,1,6,0,2,1,4,2,2,2,0,2,0,0,0,1,1
Alex Caruso,683,SG,29,CHI,68,54,1929,242,520,129,320,113,200,70,92,59,200,259,223,111,68,96,173
Aleksej Pokusevski,116,PF,22,TOT,24,0,329,39,96,13,45,26,51,25,33,16,53,69,29,13,10,15,16
Alec Burks,684,SG,32,TOT,65,1,1200,209,565,123,328,86,237,143,165,24,125,149,84,27,12,47,75
Al Horford,556,C,37,BOS,64,33,1724,212,416,106,255,106,161,26,30,82,329,411,167,37,60,47,91
AJ Griffin,37,SF,20,ATL,18,0,132,13,45,9,33,4,12,2,2,2,12,14,4,1,1,6,6
Admiral Schofield,23,PF,26,ORL,22,0,80,9,24,5,15,4,9,0,2,2,13,15,6,1,0,4,8
Aaron Wiggins,495,SG,25,OKC,74,4,1150,194,347,57,119,137,228,50,63,57,114,171,78,51,18,54,87
Aaron Nesmith,846,SF,24,IND,69,44,1916,304,616,139,327,165,289,99,129,61,201,262,105,62,49,62,232
Aaron Holiday,481,PG,27,HOU,75,1,1215,173,391,81,206,92,185,54,59,21,96,117,135,41,6,50,118
Aaron Gordon,980,PF,28,DEN,70,70,2214,386,697,39,134,347,563,169,259,168,289,457,241,54,44,102,139
A.J. Lawson,120,SG,23,DAL,38,0,260,47,100,13,43,34,57,13,21,12,25,37,15,10,3,10,20
A.J. Green,244,SG,24,MIL,54,0,580,81,190,67,164,14,26,15,17,9,54,63,30,8,4,11,48
